Correction,GroundTruth,ORC
only,only,only
normally,normally,nomally
based,based,based
on,on,on
task,task,task
force,force,force
recom,recom,recomi
mendations,mendations,mendatlons
as,as,as
m,to,m
n,nature,n
use,and,ture
and,timing,and
timing,this,tlmlng
the,requirement,th
requirements,is,requlrement
not,not,not
to,to,to
preclude,preclude,preclude
pay,pri,pry
nor,nor,nor
relevant,relevant,relevant
private,private,prlvat
cosnunlcation,cosnunlcation,cosnunlcatlon
among,among,among
subscribing,subscribing,subscrlblng
companies,companies,companles
and,and,and
organizations,organizations,organlzatlons
operation,operation,operatlon
the,the,the
task,task,task
group,group,group
will,will,hill
a,be,a
governed,governed,governed
by,by,by
mcas,mcas,mcas
general,general,general
principles,principles,prlnclples
appllcable,applicable,appllcable
to,to,to
procedure,procedure,procedure
of,of,of
the,the,the
tax,safety,ty
and,and,and
fire,fire,fire
protection,protection,protectlon
committee,committee,commlttee
mca,mca,mca
cma,cma,cma
exhibit,exhibit,exhibit
d,d,d
report,report,report
of,of,of
educatlon,education,educatlon
activities,activities,atlvltles
commlttee,committee,commlttee
m,to,m
november,november,november
by,by,by
henry,henry,henry
w,w,w
rahn,rahn,rahn
chalrman,chairman,chalrman
in,in,in
the,the,the
new,interim,ntem
several,several,several
significant,significant,significant
developments,developments,developments
have,have,have
occurred,occurred,occurred
affectlng,affecting,affectlng
the,the,the
area,area,area
whereln,wherein,whereln
the,the,the
commlttee,committee,commlttee
functlons,functions,functlons
namely,namely,namely
the,the,the
industrialacademic,industrialacademic,ndustrlaliacademc
interface,interface,nterface
these,these,these
industry,industry,ndustry
shrank,shrank,shank
to,to,to
low,low,low
levels,levels,levels
seeond,seeond,seeond
a,a,a
wave,wave,wave
of,of,of
technlcal,technical,technlcal
staff,staff,staff
reductlons,reductions,reductlons
by,by,by
job,job,job
toward,toward,toward
our,our,our
industry,industry,ndustry
underwent,underwent,underwent
deterioration,deterioration,deterloratlon
m,to,m
where,where,where
we,we,we
now,now,now
labor,labor,labor
under,under,under
the,the,the
burden,burden,burden
of,of,of
portunlty,portunity,portunlty
and,to,tn
review,review,revlew
for,for,for
you,you,you
the,the,the
commlttees,committees,commlttees
objectives,objectives,objectlves
plans,plans,plans
and,and,and
activities,activities,actlvltles
structured,structured,structured
to,to,to
meet,meet,meet
our,our,our
asslgnment,assignment,asslgnment
and,and,and
responsibility,responsibility,responslblllty
m,to,m
the,the,the
mca,mca,mca
under,under,under
condltlons,conditions,condltlons
so,so,so
changed,changed,changed
from,from,from
the,the,the
past,past,past
committee,committee,committee
edlutidn,evolution,edlutidn
was,was,was
a,a,a
shortge,shortage,shortge
of,of,of
graduate,graduate,graduate
chemlsts,chemists,chemlsts
the,the,the
initial,initial,initial
objective,objective,objectlve
was,was,was
to,to,to
encourage,encourage,encourage
students,students,students
expanding,xpanding,xpandlng
had,needs,had
of,of,of
our,our,our
industry,industry,ndustry
graduate,graduate,graduate
supplydemand,supplydemand,suplyidemand
studles,studies,studles
lad,lad,lad
several,several,several
of,of,of
our,our,our
members,members,members
to,to,to
predlct,predict,predlct
that,that,that
the,the,the
high,high,high
post,post,post
world,world,world
war,war,war
i,ii,i
birth,birth,blrth
rates,rates,rates
would,would,would
result,result,result
n,in,n
an,an,an
oversupply,oversupply,oversupply
of,of,of
chemlsts,chemists,chemlsts
n,in,n
the,the,the
early,early,early
s,s,s
the,the,the
chemlcal,chemical,chemlcal
nustry,industry,nustry
beginning,beginning,beglnnlng
n,in,n
and,and,and
the,the,the
layoffs,layoffs,layoffs
of,of,of
employed,employed,employed
chemlsts,chemists,chemlsts
and,and,and
chemlcal,chemical,chemlcal
years,years,years
of,of,of
an,age,an
or,or,or
less,less,less
were,were,were
unemployed,unemployed,unemployed
faced,faced,faced
cma,with,mm
these,these,these
unsettllng,unsettling,unsettllng
aspects,aspects,aspects
n,in,n
the,the,the
job,job,job
we,we,we
began,began,began
to,to,to
focus,focus,focus
on,on,on
the,the,the
quallty,quality,quallty
and,and,and
type,type,type
of,of,of
training,training,training
sultable,suitable,sultable
for,for,for
chemlsts,chemists,chemlsts
going,going,golng
nto,into,nto
industry,industry,ndustry
cma,cma,cma
in,in,in
looking,looking,looklng
head,ahead,head
we,we,we
are,are,are
confronted,confronted,confronted
cma,with,mm
a,a,a
highly,highly,mghly
confused,confused,confused
picture,picture,picture
concernlng,concerning,concernlng
the,the,the
power,power,power
major,major,majo
longirange,longrange,longirange
studles,studies,studles
reachlng,reaching,reachlng
nto,into,nto
the,the,the
s,s,s
by,by,by
such,such,such
prestlglous,prestigious,prestlglous
groups,groups,groups
as,as,as
the,the,the
natlnal,national,natlnal
sclence,science,sclence
foundation,foundation,foundatlbn
sclentlflc,scientific,sclentlflc
manpower,manpower,manpower
commlsslon,commission,commlsslon
englneerlng,engineering,englneerlng
manpower,manpower,manpower
com,commission,co
session,of,lsslon
of,the,of
the,joint,the
joint,engineers,joint
engineers,council,englneers
councll,and,councll
and,the,and
the,u,the
v,s,v
department,department,department
of,of,of
labor,labor,labor
reach,reach,reach
varying,varying,varylng
forecasts,forecasts,forecasts
ranglng,ranging,ranglng
from,from,from
predlctlon,prediction,predlctlon
of,of,of
years,years,years
of,of,of
oversupply,oversupply,oversupply
m,to,m
dire,dire,dlre
harnlngs,warnings,harnlngs
of,of,of
impending,impending,impending
shortages,shortages,shortages
hlstorlcal,historical,hlstorlcal
rend,trend,rend
data,data,data
for,for,for
predlctlng,predicting,predlctlng
technlcal,technical,technlcal
manpower,manpower,manpower
supplies,supplies,supplies
ten,ten,ten
years,years,years
from,from,from
now,now,now
forces,forces,forces
some,some,some
degree,degree,degree
of,of,of
uncertalnty,uncertainty,uncertalnty
nto,into,nto
the,the,the
forecasts,forecasts,forecasts
but,but,but
the,the,the
light,weight,welght
of,of,of
the,the,the
evldence,evidence,evldence
seems,seems,seems
to,to,to
the,lie,he
on,on,on
the,the,the
de,side,de
of,of,of
an,an,an
impending,impending,impending
shortage,shortage,shortage
the,the,the
shortrange,shortrange,shortirange
forecasts,forecasts,forecasts
on,on,on
the,the,the
other,other,other
hand,hand,hand
as,as,as
mode,mode,mode
by,by,by
mllarly,similarly,mllarly
competent,competent,competent
groups,groups,groups
are,are,are
consldered,considered,consldered
m,to,m
be,be,be
much,much,much
more,more,more
rellable,reliable,rellable
we,we,we
can,can,can
discuss,discuss,dlscus
these,these,these
figures,figures,flgures
with,with,hlth
more,more,more
confldence,confidence,confldence
in,in,in
general,general,general
such,such,such
studles,studies,studles
predlct,predict,predlct
the,we,he
chemlstry,chemistry,chemlstry
d,and,d
all,all,all
englneerlng,engineering,englneerlng
during,during,durlng
the,the,the
next,next,next
four,four,four
years,years,years
if,if,if
this,this,thls
do,downward,do
award,trend,nward
trend,continues,trend
contlnues,there,contlnues
there,is,there
reason,reason,reason
to,to,to
belleve,believe,belleve
that,that,that
a,a,a
shortage,shortage,shortage
of,of,of
some,some,some
proportlon,proportions,proportlon
could,could,could
develop,develop,develop
n,in,n
the,the,the
supply,supply,supply
of,of,of
sclentlflc,scientific,sclentlflc
and,and,and
englneerlng,engineering,englneerlng
graduates,graduates,graduates
a,as,a
concerns,concerned,concerns
over,over,over
both,both,both
the,the,the
short,short,short
and,and,and
long,long,long
range,range,range
situation,situation,situation
i,i,i
will,will,will
not,not,not
burden,burden,burden
you,you,you
may,with,mm
a,a,a
complete,complete,complete
satlstlcal,statistical,satlstlcal
analysis,analysis,analysls
that,that,that
supports,supports,supports
this,this,thls
concluslon,conclusion,concluslon
but,but,but
here,here,here
are,are,are
some,some,some
significant,significant,significant
detalls,details,detalls
first,first,first
undergraduate,undergraduate,undrgraduate
enrollments,enrollments,enrollments
for,for,for
majors,majors,majors
n,in,n
chemlstry,chemistry,chemlstry
have,have,have
historically,historically,hlstorlcally
ncreased,increased,ncreased
chemlstry,chemistry,chemlstry
ecllned,declined,ecllned
for,for,for
the,the,the
first,first,flrst
time,time,time
n,in,n
years,years,years
we,we,we
conclude,conclude,conclude
that,that,that
a,a,a
high,high,hlgh
drop,drop,drop
out,out,out
rate,rate,rate
between,between,betwen
entry,entry,entry
and,and,and
graduatlon,graduation,graduatlon
for,for,for
chemlstry,chemistry,chemlstry
majors,majors,majors
has,has,has
taken,taken,taken
place,place,place
second,second,second
the,the,th
number,number,number
of,of,of
first,first,flrst
year,year,year
graduate,graduate,graduate
students,students,students
n,in,n
cma,phd,mm
chemlstry,chemistry,chemlstry
programs,programs,programs
has,has,has
flelds,fields,flelds
third,third,thlrd
undergraduate,undergraduate,undrgraduate
enrollments,enrollments,enrollments
and,and,and
earned,earned,earned
degrees,degrees,degrees
n,in,n
englneerlng,engineering,englneerlng
are,are,are
decllnlng,declining,decllnlng
significantly,significantly,slgnlflcanly
from,from,from
the,the,the
total,total,total
englneerlng,engineering,englneerlng
bachelor,bachelor,bachelor
supply,supply,supply
of,of,of
graduatlng,graduating,graduatlng
n,in,n
agalnst,against,agalnst
this,this,th
background,background,background
of,of,of
rapidlydeclining,rapidlydeclining,rapldlyidecllnlng
nterest,interest,nterest
n,in,n
sclentlflc,scientific,sclentlflc
and,and,and
englneerlng,engineering,englneerlng
degrees,degrees,degrees
tare,there,tare
are,are,are
some,some,some
that,that,that
clalm,claim,clalm
that,that,that
even,even,even
larger,larger,larger
decreases,decreases,decreases
n,in,n
the,the,the
employed,employed,employed
technlcal,technical,technlcal
comes,comes,comes
nee,nee,nee
ssary,ssary,sary
i,i,i
susp,susp,susp
at,ct,at
w,w,w
hill,will,hill
find,find,nd
the,the,the
students,students,students
moving,moving,movlng
ever,ever,ever
farther,farther,farther
away,away,away
from,from,from
the,the,the
cma,cma,cma
requlrlng,requiring,requlrlng
any,many,any
high,high,high
level,level,level
ntellects,intellects,ntellects
to,to,to
effectively,effectively,effectlvely
develop,develop,develop
manage,manage,manage
and,and,and
operate,operate,operate
hill,will,hill
depend,depend,depen
largely,largely,largely
on,on,on
the,the,the
prestlge,prestige,prestlge
of,of,of
the,the,the
occupatlon,occupation,occupatlon
working,working,worklng
condltlons,conditions,condltlons
and,and,and
personal,personal,personal
engineers,engineers,englneers
we,we,we
make,make,make
the,the,the
predlctlon,prediction,predlctlon
this,this,thls
number,number,number
will,will,will
remain,remain,remaln
a,a,a
reasonably,reasonably,reasonably
stable,stable,stable
percentage,percentage,percentage
concluslon,conclusion,concluslon
by,by,by
assumlng,assuming,assumlng
two,two,two
mportant,important,mportant
opposlng,opposing,opposlng
demand,demand,demand
trends,trends,trends
will,will,will
tend,tend,tend
to,to,to
balance,balance,balance
each,each,each
other,other,other
the,the,the
downward,downward,downward
trend,trend,trend
involved,involved,nvolved
rd,rd,rd
during,during,durlng
the,the,the
past,past,past
years,years,years
a,ift,a
activities,activities,actlvltles
accounted,accounted,accounted
or,for,or
a,a,a
large,large,large
fraction,fraction,fractlon
of,of,of
total,total,total
technlcal,technical,technlcal
employment,employment,employment
mem,with,mm
this,this,thls
fraction,fraction,fractlon
tendlng,tending,tendlng
and,and,and
the,the,the
pending,impending,mendng
energy,energy,energy
crlsls,crisis,crlsls
which,which,whlch
heretofore,heretofore,heretofore
have,have,have
not,not,not
been,been,been
factors,factors,factors
of,of,of
any,any,any
gas,signifi,slgmsk
canes,cance,canes
as,as,as
users,users,uers
or,or,or
chemlcally,chemically,chemlcally
tralned,trained,tralned
personnel,personnel,personnel
could,could,could
posslbly,possibly,posslbly
impose,impose,impose
heavy,heavy,heavy
future,future,future
de,de,de
